第1次迭代的种群为:    0  1  2  3  4  5  6  7  8  9
1   0  1  1  1  0  0  1  1  0  0
2   0  0  1  0  0  0  1  0  0  0
3   0  0  1  1  0  0  1  0  0  1
4   1  0  1  1  1  1  0  0  1  1
5   1  0  0  0  1  0  1  1  0  1
7   0  0  1  1  1  0  1  1  0  0
9   0  0  0  1  0  0  0  1  1  1
11  0  1  1  1  1  0  1  1  0  0
16  1  1  0  0  1  1  1  1  1  1
17  0  1  1  1  0  1  0  1  0  1
----------------------
第2次迭代的种群为:    0  1  2  3  4  5  6  7  8  9
2   0  0  1  1  1  0  1  1  0  0
4   0  0  0  0  0  1  0  0  1  1
6   1  1  0  0  1  1  1  1  1  1
7   0  1  1  1  0  1  0  1  0  1
8   1  0  0  0  1  0  0  1  0  1
9   0  1  0  1  1  1  0  1  1  1
13  1  1  0  0  0  0  0  0  1  0
15  1  0  1  0  1  1  0  1  0  1
16  0  1  0  0  1  0  0  1  1  1
17  0  1  1  0  1  1  1  1  0  1
----------------------
